Record_ID,Date,Region,Crop_Type,Temperature (°C),Soil_Moisture (%),Rainfall (mm),NDVI_Index,Fertiliser_Used,Pesticide_Used,AI_Crop_Health_Score,Yield_Prediction (t/acre),Irrigation_Status,Disease_Risk_Level,Recommendation
1,2025-11-21,Sindh,Maize,19.4,70.1,24.4,0.37,Potash,General,46,5.6,Adequate,Low,Apply Pesticide
2,2025-11-20,KPK,Rice,29.7,57.5,5.2,0.87,Potash,None,68,3.2,Excessive,Low,Apply Fertiliser
3,2025-02-27,Punjab,Wheat,32.2,51.6,39.6,0.34,Potash,None,90,5.9,Insufficient,High,Increase Watering
4,2025-08-22,Punjab,Maize,33.5,64.8,0.4,0.62,Organic,General,74,4.8,Insufficient,High,Reduce Watering
5,2025-09-26,KPK,Cotton,31.2,76.6,22.9,0.62,Nitrogen,General,90,3.8,Excessive,Moderate,Maintain Schedule
6,2025-02-04,Gilgit-Baltistan,Cotton,20.0,31.3,23.6,0.45,Potash,None,44,3.6,Excessive,Moderate,Reduce Watering
7,2025-04-09,Gilgit-Baltistan,Maize,35.8,63.0,13.5,0.85,None,Organic,97,2.8,Excessive,Moderate,Apply Fertiliser
8,2025-06-11,Balochistan,Wheat,41.6,81.6,32.2,0.76,Potash,Organic,78,2.3,Adequate,High,Apply Fertiliser
9,2025-03-14,Punjab,Wheat,26.3,41.5,18.2,0.89,Phosphate,Organic,45,5.7,Excessive,Moderate,Reduce Watering
10,2025-03-09,Gilgit-Baltistan,Maize,36.8,74.9,37.4,0.64,Organic,Organic,66,3.8,Adequate,Low,Maintain Schedule
11,2025-07-29,Gilgit-Baltistan,Wheat,21.5,72.0,32.5,0.6,Nitrogen,None,96,4.1,Excessive,High,Increase Watering
12,2025-12-08,KPK,Maize,30.0,36.1,15.8,0.74,Potash,None,81,5.1,Insufficient,Low,Apply Pesticide
13,2025-01-15,KPK,Rice,33.5,56.4,8.7,0.85,Organic,Organic,50,5.0,Excessive,High,Reduce Watering
14,2025-04-27,Sindh,Rice,27.1,51.6,9.4,0.9,Potash,None,68,1.8,Adequate,Low,Apply Fertiliser
15,2025-10-10,Sindh,Wheat,21.9,87.8,30.0,0.25,Nitrogen,General,99,4.6,Insufficient,Low,Reduce Watering
16,2025-09-08,Gilgit-Baltistan,Maize,32.5,24.0,22.3,0.78,Organic,General,90,3.2,Adequate,Moderate,Apply Fertiliser
17,2025-06-05,Punjab,Rice,26.3,39.0,1.0,0.58,Potash,General,80,4.2,Adequate,Moderate,Increase Watering
18,2025-02-26,Sindh,Wheat,31.9,40.3,39.5,0.77,Organic,Organic,60,3.7,Insufficient,High,Apply Fertiliser
19,2025-03-10,Sindh,Rice,33.2,59.3,9.5,0.32,None,General,88,5.9,Adequate,Low,Increase Watering
20,2025-05-22,Punjab,Maize,32.4,60.3,18.3,0.43,Phosphate,None,57,4.1,Insufficient,High,Maintain Schedule
21,2025-05-31,KPK,Maize,40.2,90.0,28.3,0.89,Organic,General,94,5.9,Insufficient,Moderate,Increase Watering
22,2025-04-01,Sindh,Rice,34.0,45.0,25.2,0.23,Potash,None,67,4.1,Insufficient,Low,Apply Fertiliser
23,2025-07-06,Balochistan,Cotton,25.9,86.4,19.0,0.27,Potash,None,66,4.1,Excessive,High,Apply Pesticide
24,2025-10-16,Balochistan,Rice,34.3,87.4,32.4,0.59,None,None,96,3.4,Insufficient,Moderate,Maintain Schedule
25,2025-06-02,Sindh,Wheat,31.9,65.2,32.0,0.38,Potash,General,62,4.8,Insufficient,High,Apply Pesticide
26,2025-12-14,Sindh,Wheat,24.0,36.0,38.0,0.27,Potash,None,51,5.8,Excessive,High,Apply Pesticide
27,2025-02-06,Punjab,Cotton,41.1,60.1,24.6,0.31,Potash,General,90,3.9,Adequate,High,Apply Pesticide
